ACCESSION_NUMBER	NONDERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001250853-24-000009	6711004	Common Stock		27-JUN-2024				4	P	0				258010.0		1.27		A		2461832.0				D			
0001250853-24-000009	6711005	Common Stock		28-JUN-2024				4	P	0				49990.0		1.27		A		2511822.0				D			
0001250853-24-000009	6711003	Common Stock		26-JUN-2024				4	P	0				300000.0		1.29		A		2203822.0				D			
0001610717-24-000380	6710744	Common Stock		17-APR-2024				4	G	0	F1			238965.0		0.0		D		238965.0				I		See footnote	F2
0001415889-24-018512	6710666	Common Stock		27-JUN-2024				4	P	0	F1			7959.0		14.97	F2	A		190094.0				I		see footnote below	F3
0000950170-24-079190	6710790	Common Stock		28-JUN-2024				4	S	false	F1			1350.0		16.03	F2	D		213702.0				D			
0001628280-24-030527	6710857	A Ordinary Shares	F1	21-MAR-2024		21-MAR-2024		4	P	0				1994.0	F2	47.99		A		241336.0				D			
0001225208-24-007040	6710732	Common Stock		28-JUN-2024				4	S	0	F1			3400.0		130.08	F2	D		234840.0				D			
0001225208-24-007040	6710733	Common Stock		28-JUN-2024				4	S	0	F1			4443.0		130.9	F3	D		230397.0				D			
0001104659-24-076443	6710644	Class C Common Stock		26-JUN-2024				4	C	0				375000.0			F1	A		435152.0				I		See footnotes	F3, F2
0001104659-24-076443	6710645	Class C Common Stock		28-JUN-2024				4	J	0	F4			375000.0		24.69		D		60152.0				I		See footnotes	F3, F2
0000907242-24-000004	6711067	Common Stock		21-JUN-2024				4	S	0				2000.0		68.0		D		525310.0				D			
0000950170-24-079183	6711038	Common Stock		28-JUN-2024				4	F	false				4047.0		0.0		D		222785.0				D			
0000950170-24-079183	6711037	Common Stock		28-JUN-2024				4	A	false				9560.0	F1	0.0		A		226832.0				D			
0001857816-24-000168	6711001	Class A Ordinary Shares, par value $0.05 per share		27-JUN-2024				4	S	0				84657.0	F9	29.61	F10	D		4228136.0	F3			I		By DCM IV, L.P., DCM Affiliates Fund IV, L.P., DCM IX, L.P. and DCM Affiliates Fund IX, L.P.	F7, F6, F4, F5
0001857816-24-000168	6710999	Class A Ordinary Shares, par value $0.05 per share		26-JUN-2024				4	S	0				112638.0	F1	29.88	F2	D		4334714.0	F3			I		By DCM IV, L.P., DCM Affiliates Fund IV, L.P., DCM IX, L.P. and DCM Affiliates Fund IX, L.P.	F7, F6, F4, F5
0001857816-24-000168	6711000	Class A Ordinary Shares, par value $0.05 per share		26-JUN-2024				4	S	0				21921.0	F1	30.55	F8	D		4312793.0	F3			I		By DCM IV, L.P., DCM Affiliates Fund IV, L.P., DCM IX, L.P. and DCM Affiliates Fund IX, L.P.	F7, F6, F4, F5
0001857816-24-000168	6711002	Class A Ordinary Shares, par value $0.05 per share		27-JUN-2024				4	S	0				8554.0	F9	30.19	F11	D		4219582.0	F3			I		By DCM IV, L.P., DCM Affiliates Fund IV, L.P., DCM IX, L.P. and DCM Affiliates Fund IX, L.P.	F7, F6, F4, F5
0001104659-24-076442	6710955	COMMON STOCK		26-JUN-2024				4	S	0	F1			24610.0		2.05	F2	D		1977170.0	F3			D			
0001104659-24-076442	6710956	COMMON STOCK		26-JUN-2024				4	G	0	F4			37890.0		0.0		D		1939280.0	F3			D			
0001415889-24-018510	6710555	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		14621.0				D			
0001415889-24-018509	6710710	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		3119.0				D			
0001415889-24-018508	6710791	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		11386.0				D			
0001104659-24-076441	6710813	Common Stock		26-JUN-2024				4	S	0	F1			13038.0		2.06	F2	D		672186.0	F3			D			
0001415889-24-018507	6710635	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		7085.0				D			
0001415889-24-018506	6710698	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		4970.0				D			
0001415889-24-018505	6710887	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		5970.0				D			
0001415889-24-018504	6710958	Common Stock		27-JUN-2024				4	A	0				547.0	F1	0.0		A		22463.0				D			
0001140361-24-031815	6710856	Common Stock		28-JUN-2024				4	S	0	F1			16627.0		178.46	F10	D		670278284.0				D			
0001140361-24-031815	6710848	Common Stock		26-JUN-2024				4	S	0	F1			16097.0		174.26	F2	D		670662570.0				D			
0001140361-24-031815	6710849	Common Stock		26-JUN-2024				4	S	0	F1			34976.0		175.39	F3	D		670627594.0				D			
0001140361-24-031815	6710850	Common Stock		26-JUN-2024				4	S	0	F1			74678.0		176.29	F4	D		670552916.0				D			
0001140361-24-031815	6710855	Common Stock		28-JUN-2024				4	S	0	F1			19891.0		177.78	F9	D		670294911.0				D			